Countries,Continents,The United Nations,Parlament,The Government,The Political Parties,The Press,Armed Forces,Television,Churches
Algeria,Africa,9,22,33.9,18.8,29.4,53.8,40.6,67.8
Azerbaijan,Asia,33.6,63.7,80.1,41,51.2,74.9,63.5,46
Argentina,South America,26.9,24.9,31.6,15,36,28.8,34.7,51.8
Brazil,South America,37.2,20.9,41,15.9,45.9,58.6,40.7,70
Belarus,Europe,55.6,48.9,56,35,39,74.5,45.9,72.9
Chile,South America,43.2,24.7,33.6,16.9,53.1,55.2,56.2,57
Cyprus,Asia,38.8,41.7,38.5,23.3,43,66.7,49.9,66.4
Ecuador,South America,39.3,29.7,50.4,23.5,45.9,57.9,45.2,77.7
Estonia,South America,57.1,40.9,52.8,27,44.6,69.8,64.9,58.5
Georgia,Asia,46.8,29.3,32.5,20.2,22.2,77.8,27.6,87.1
Germany,Europe,45.7,43.5,44.4,23.9,44.4,63.6,47.4,37.3
Ghana,Africa,65.1,56.3,60.8,41.9,61.1,78.9,73,89.3
India,Asia,29.5,51.4,45.7,34.3,65.9,82,69.8,95.5
Japan,Asia,42,19.8,24.3,14.8,70.6,67.1,66.6,7.9
Jordan,Asia,17.2,21,54.2,9.7,32.9,90.3,40.5,73.9
South Korea,Asia,68.3,25.5,49.5,26.1,61,63.5,63.2,50.3
Kyrgyzstan,Asia,65.8,55.1,57.7,50.9,56.1,63.7,67.4,51.3
Lebanon,Asia,29.5,30,22.7,25.6,33.8,45.7,35.1,41.5
Malaysia,Asia,61.9,69,75.1,61.9,68.6,80,70.7,91.3
Mexico,South America,48.8,25,38.7,22,29.7,58.9,33.8,64.2
Netherlands,Europe,41.9,32.6,33,18.2,34.1,49.5,39.6,22.1
New Zealand,Oceania,44.9,35.7,44.7,15.2,25.4,76.1,34.4,41.4
Nigeria,Africa,55.1,39.8,37.9,31.5,61.5,64.4,72.3,92.1
Peru,South America,42.6,12,21.8,10.5,31.1,33.1,34.6,66.7
Philippines,Asia,66.9,59.7,57.7,48.7,67.1,71.2,76,94.7
Romania,Europe,43.2,14.9,18.3,11.5,27.4,65.2,33.3,72.7
Slovenia,Europe,24,6,7.7,3.4,23.2,33.8,32.9,24
Spain,Europe,45.2,33.5,20.7,15,31.1,51,29.4,27.3
Trinidad and Tobago,North America,39.1,25.9,34.9,21.8,29.4,41,34.2,65.2
Tunisia,Africa,11.8,5.9,17.8,3.1,17.7,59.9,20.4,45
United States,North America,35.9,20.2,32.6,12.5,22.7,81.6,23.9,57.6
Uruguay,South America,40,39.6,59,31.7,44.8,36.6,42.3,39.6
Uzbekistan,Asia,72.9,85.4,95.2,74.2,81.8,93.8,87.4,79
